Unnamed: 0,VISIT_AREA_ID,TRAVEL_ID,VISIT_ORDER,VISIT_AREA_NM,VISIT_START_YMD,VISIT_END_YMD,ROAD_NM_ADDR,LOTNO_ADDR,X_COORD,Y_COORD,ROAD_NM_CD,LOTNO_CD,POI_ID,POI_NM,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,VISIT_CHC_REASON_CD,LODGING_TYPE_CD,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,SGG_CD,TRAVEL_NM,TRAVELER_ID,TRAVEL_PURPOSE,TRAVEL_START_YMD,TRAVEL_END_YMD,MVMN_NM,TRAVEL_MISSION,TRAVEL_MISSION_CHECK,TRAVEL_MISSION_PRIORITY,RESIDENCE_SGG_CD,GENDER,AGE_GRP,EDU_NM,EDU_FNSH_SE,MARR_STTS,FAMILY_MEMB,JOB_NM,JOB_ETC,INCOME,HOUSE_INCOME,TRAVEL_TERM,TRAVEL_NUM,TRAVEL_LIKE_SIDO_1,TRAVEL_LIKE_SGG_1,TRAVEL_LIKE_SIDO_2,TRAVEL_LIKE_SGG_2,TRAVEL_LIKE_SIDO_3,TRAVEL_LIKE_SGG_3,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_STATUS_RESIDENCE,TRAVEL_STATUS_DESTINATION,TRAVEL_STATUS_ACCOMPANY,TRAVEL_STATUS_YMD,TRAVEL_MOTIVE_1,TRAVEL_MOTIVE_2,TRAVEL_MOTIVE_3,TRAVEL_COMPANIONS_NUM,ADDR,RES_CAFE,VISIT_COUNT,VISIT_AREA_MAIN_TYPE
0,2208190004,d_d000296,14,산굼부리,2022-08-19 00:00:00,2022-08-19 00:00:00,,제주특별자치도 제주시 조천읍 교래리 166-2,126.693832,33.43257409,,,,,60,1,Y,4,,5,5,5,,D01,d000296,2;,2022-08-18 00:00:00,2022-08-22 00:00:00,대중교통 등,2;,2;28;12,2,11,남,40,7,1,2,4,2.0,,8,8.0,3,6,42,42110,41,41820,41,41110,2,5,3,2,5,4,2,5,서울특별시,제주,자녀 동반 여행,2022-08-19~2022-08-21,3,7.0,1.0,3,제주특별자치도 제주시 조천읍 교래리 166-2,2,99,1
83,2208190002,d_d000296,12,한라산국립공원 관음사탐방로,2022-08-19 00:00:00,2022-08-19 00:00:00,,제주특별자치도 제주시 오라이동 산 107-20,126.5380065,33.39083768,,,,,60,1,N,1,,5,5,5,,D01,d000296,2;,2022-08-18 00:00:00,2022-08-22 00:00:00,대중교통 등,2;,2;28;12,2,11,남,40,7,1,2,4,2.0,,8,8.0,3,6,42,42110,41,41820,41,41110,2,5,3,2,5,4,2,5,서울특별시,제주,자녀 동반 여행,2022-08-19~2022-08-21,3,7.0,1.0,3,제주특별자치도 제주시 오라이동 산 107-20,2,17,1
98,2208180010,d_d000296,10,한림리조트,2022-08-18 00:00:00,2022-08-19 00:00:00,제주특별자치도 제주시 한림읍 일주서로 5083-5,제주특별자치도 제주시 한림읍 협재리 1193,126.2499557,33.38941846,,,,,210,24,Y,8,4.0,5,5,5,,D01,d000296,2;,2022-08-18 00:00:00,2022-08-22 00:00:00,대중교통 등,2;,2;28;12,2,11,남,40,7,1,2,4,2.0,,8,8.0,3,6,42,42110,41,41820,41,41110,2,5,3,2,5,4,2,5,서울특별시,제주,자녀 동반 여행,2022-08-19~2022-08-21,3,7.0,1.0,3,제주특별자치도 제주시 한림읍 일주서로 5083-5,2,19,24
117,2208200001,d_d000296,17,스누피가든,2022-08-20 00:00:00,2022-08-20 00:00:00,제주특별자치도 제주시 구좌읍 금백조로 916,제주특별자치도 제주시 구좌읍 송당리 2303-1,126.7796675,33.44335922,,,,,180,6,N,1,,5,5,5,,D01,d000296,2;,2022-08-18 00:00:00,2022-08-22 00:00:00,대중교통 등,2;,2;28;12,2,11,남,40,7,1,2,4,2.0,,8,8.0,3,6,42,42110,41,41820,41,41110,2,5,3,2,5,4,2,5,서울특별시,제주,자녀 동반 여행,2022-08-19~2022-08-21,3,7.0,1.0,3,제주특별자치도 제주시 구좌읍 금백조로 916,2,135,6
170,2208180007,d_d000296,7,협재해수욕장,2022-08-18 00:00:00,2022-08-18 00:00:00,제주특별자치도 제주시 한림읍 한림로 329-10,제주특별자치도 제주시 한림읍 협재리 2447,126.2391575,33.39386608,,,,,90,1,N,1,,5,5,5,,D01,d000296,2;,2022-08-18 00:00:00,2022-08-22 00:00:00,대중교통 등,2;,2;28;12,2,11,남,40,7,1,2,4,2.0,,8,8.0,3,6,42,42110,41,41820,41,41110,2,5,3,2,5,4,2,5,서울특별시,제주,자녀 동반 여행,2022-08-19~2022-08-21,3,7.0,1.0,3,제주특별자치도 제주시 한림읍 한림로 329-10,2,272,1
442,2208180004,d_d000296,4,카페노티드 제주애월,2022-08-18 00:00:00,2022-08-18 00:00:00,제주특별자치도 제주시 애월읍 애월로1길 24-9,제주특별자치도 제주시 애월읍 애월리 2527-3,126.3097228,33.46327185,,,POI01000000CTG69W,카페노티드,60,11,N,1,,1,5,5,,D01,d000296,2;,2022-08-18 00:00:00,2022-08-22 00:00:00,대중교통 등,2;,2;28;12,2,11,남,40,7,1,2,4,2.0,,8,8.0,3,6,42,42110,41,41820,41,41110,2,5,3,2,5,4,2,5,서울특별시,제주,자녀 동반 여행,2022-08-19~2022-08-21,3,7.0,1.0,3,제주특별자치도 제주시 애월읍 애월로1길 24-9,1,75,11
516,2208180006,d_d000296,6,한림리조트,2022-08-18 00:00:00,2022-08-18 00:00:00,제주특별자치도 제주시 한림읍 일주서로 5083-5,제주특별자치도 제주시 한림읍 협재리 1193,126.2499557,33.38941846,,,,,60,24,N,8,4.0,5,5,5,,D01,d000296,2;,2022-08-18 00:00:00,2022-08-22 00:00:00,대중교통 등,2;,2;28;12,2,11,남,40,7,1,2,4,2.0,,8,8.0,3,6,42,42110,41,41820,41,41110,2,5,3,2,5,4,2,5,서울특별시,제주,자녀 동반 여행,2022-08-19~2022-08-21,3,7.0,1.0,3,제주특별자치도 제주시 한림읍 일주서로 5083-5,2,19,24
535,2208180005,d_d000296,5,더마파크,2022-08-18 00:00:00,2022-08-18 00:00:00,,제주특별자치도 제주시 한림읍 월림리 2365,126.244325,33.35413025,,,,,30,5,N,2,,5,5,5,,D01,d000296,2;,2022-08-18 00:00:00,2022-08-22 00:00:00,대중교통 등,2;,2;28;12,2,11,남,40,7,1,2,4,2.0,,8,8.0,3,6,42,42110,41,41820,41,41110,2,5,3,2,5,4,2,5,서울특별시,제주,자녀 동반 여행,2022-08-19~2022-08-21,3,7.0,1.0,3,제주특별자치도 제주시 한림읍 월림리 2365,2,25,3
537,2208190003,d_d000296,13,봄그리고가을리조트,2022-08-19 00:00:00,2022-08-19 00:00:00,제주특별자치도 서귀포시 성산읍 해맞이해안로 2660,제주특별자치도 서귀포시 성산읍 고성리,126.9111111,33.4741667,,,POI01000000EHG94K,봄그리고가을리조트B동,30,24,N,8,4.0,5,5,5,50130.0,D01,d000296,2;,2022-08-18 00:00:00,2022-08-22 00:00:00,대중교통 등,2;,2;28;12,2,11,남,40,7,1,2,4,2.0,,8,8.0,3,6,42,42110,41,41820,41,41110,2,5,3,2,5,4,2,5,서울특별시,제주,자녀 동반 여행,2022-08-19~2022-08-21,3,7.0,1.0,3,제주특별자치도 서귀포시 성산읍 해맞이해안로 2660,2,30,24
567,2208200002,d_d000296,18,제주레일바이크,2022-08-20 00:00:00,2022-08-20 00:00:00,제주특별자치도 제주시 구좌읍 용눈이오름로 641,제주특별자치도 제주시 구좌읍 종달리 4639,126.8369456,33.46462116,,,,,30,13,N,2,,5,5,5,,D01,d000296,2;,2022-08-18 00:00:00,2022-08-22 00:00:00,대중교통 등,2;,2;28;12,2,11,남,40,7,1,2,4,2.0,,8,8.0,3,6,42,42110,41,41820,41,41110,2,5,3,2,5,4,2,5,서울특별시,제주,자녀 동반 여행,2022-08-19~2022-08-21,3,7.0,1.0,3,제주특별자치도 제주시 구좌읍 용눈이오름로 641,2,35,13
