VISIT_AREA_NM,X_COORD,Y_COORD,ADDR
산굼부리,126.693832,33.43257409,제주특별자치도 서귀포시 색달중앙로252번길 124
한라산국립공원 관음사탐방로,126.5380065,33.39083768,제주특별자치도 제주시 오라이동 산 107-20
한림리조트,126.2499557,33.38941846,제주특별자치도 제주시 한림읍 일주서로 5083-5
스누피가든,126.7796675,33.44335922,제주특별자치도 제주시 구좌읍 금백조로 916
협재해수욕장,126.2391575,33.39386608,제주특별자치도 제주시 한림읍 한림로 329-10
카페노티드 제주애월,126.3097228,33.46327185,제주특별자치도 제주시 애월읍 애월로1길 24-9
더마파크,126.244325,33.35413025,제주특별자치도 제주시 한림읍 월림7길 155
봄그리고가을리조트,126.9111111,33.4741667,제주특별자치도 서귀포시 성산읍 해맞이해안로 2660
제주레일바이크,126.8369456,33.46462116,제주특별자치도 제주시 구좌읍 용눈이오름로 641
우동카덴,126.6792945,33.43583724,제주특별자치도 제주시 조천읍 교래3길 23
섭지코지,126.931111,33.4242095,제주특별자치도 서귀포시 성산읍 고성리
어멍횟집,126.9159846,33.44788309,제주특별자치도 서귀포시 성산읍 일출로 29
제주도 해녀세자매,126.2606468,33.41399681,제주특별자치도 제주시 한림읍 한림로3길 10-11
성산일출봉,126.9405375,33.45913497,제주특별자치도 서귀포시 성산읍 성산리 78
세계자동차&피아노박물관,126.3498145,33.28375831,제주특별자치도 서귀포시 안덕면 중산간서로 1610
세화소품관,126.8576159,33.52559145,제주특별자치도 제주시 구좌읍 해맞이해안로 1422-3
우굼,126.3991686,33.42950235,제주특별자치도 제주시 애월읍 하소로 611-42
너의하루,126.796217,33.55345154,제주특별자치도 제주시 구좌읍 월정5길 28-4
9.81파크,126.366664,33.39028982,제주특별자치도 제주시 애월읍 천덕로 880-24
월정리해수욕장,126.7958051,33.55646939,제주특별자치도 서귀포시 성산읍 일출로 284-12
오드랑베이커리,126.671581,33.54213375,제주특별자치도 제주시 조천읍 조함해안로 552-3
우진해장국,126.5200013,33.5115169,제주특별자치도 제주시 서사로 11
삼대국수회관 본점,126.5300594,33.50690145,제주특별자치도 제주시 삼성로 41
서프서프,126.7966219,33.55530588,제주특별자치도 제주시 구좌읍 월정7길 52
카페치즈태비,126.8077719,33.55513706,제주특별자치도 제주시 구좌읍 행원로7길 18-9
제주동문재래시장,126.5260174,33.51158514,제주특별자치도 제주시 관덕로14길 20
아르떼뮤지엄 제주,126.3450106,33.39670048,제주특별자치도 제주시 애월읍 어림비로 478
코난해변,126.811202,33.55745493,제주특별자치도 제주시 구좌읍 행원리 575-6
고등어회결사,126.3955273,33.48381453,제주특별자치도 제주시 애월읍 애월해안로 941
도민상회,126.2602064,33.41318997,제주특별자치도 제주시 한림읍 한림로3길 8
월정항아리,126.7951999,33.5536987,제주특별자치도 제주시 구좌읍 월정5길 38
금능제면소,126.2284209,33.38817748,제주특별자치도 제주시 한림읍 금능길 47
금능해수욕장,126.2358899,33.39044882,제주특별자치도 제주시 한림읍 금능길 119-10
더꽃돈 협재점,126.242567,33.3953421,제주특별자치도 제주시 한림읍 한림로 366
비수기애호가,126.8307816,33.54316681,제주특별자치도 제주시 구좌읍 해맞이해안로 997
호텔스테이현,126.5243398,33.5123072,제주특별자치도 제주시 관덕로8길 7-12
레이어스 베이크하우스,126.5207811,33.51492973,제주특별자치도 제주시 무근성7길 25
함덕해수욕장,126.6692389,33.54306157,제주특별자치도 제주시 조천읍 조함해안로 525
아베베베이커리,126.5287906,33.51265509,제주특별자치도 제주시 동문로6길 4
금복식당,126.5283141,33.51279302,제주특별자치도 제주시 동문로 16
제주동문시장,126.5262468,33.5126627,제주시 동문로 16
스타벅스 제주함덕점,126.6685692,33.54251161,제주특별자치도 제주시 조천읍 조함해안로 522
씽씽왕발통,126.7552267,33.5576319,제주특별자치도 제주시 구좌읍 김녕로21길 19
김녕해안도로,126.7694279,33.56395318,제주특별자치도 제주시 구좌읍 김녕리
아침해변펜션,126.6378001,33.54396535,제주특별자치도 제주시 조천읍 조함해안로 76-9
산지해장국,126.5285101,33.51634062,제주특별자치도 제주시 임항로 34
곱들락,126.6702086,33.53950106,제주특별자치도 제주시 조천읍 함덕18길 19
사라봉공원,126.545546,33.51728425,제주특별자치도 제주시 사라봉동길 74
신흥바다낚시공원,126.6469397,33.55124775,제주특별자치도 제주시 조천읍 조함해안로 247-2
이니스프리 제주하우스,126.2904426,33.30632987,제주특별자치도 서귀포시 안덕면 신화역사로 23
쇠소깍관광지,126.6226425,33.25295565,제주특별자치도 서귀포시 하효동
곱은달감귤체험농장,126.6661701,33.27615288,제주특별자치도 서귀포시 남원읍 태위로171번길 11
국수나무집,126.4919771,33.49083987,제주특별자치도 제주시 신대로10길 43
이중섭거리,126.5640039,33.24761378,제주특별자치도 서귀포시 이중섭로 4-1
동문취향 게스트하우스,126.5269706,33.5136399,제주특별자치도 제주시 관덕로15길 4
