VISIT_AREA_NM,VISIT_AREA_MAIN_TYPE,VISIT_COUNT,VISIT_REASON,RES_CAFE
산굼부리,1,99,"[0.585859, 0.131313, 0.020202, 0.161616, 0.040404, 0.0, 0.0, 0.0, 0.040404, 0.010101, 0.010101]",2
한라산국립공원 관음사탐방로,1,17,"[0.647059, 0.0, 0.058824, 0.294118, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
한림리조트,24,19,"[0.0, 0.210526, 0.0, 0.0, 0.0, 0.0, 0.052632, 0.315789, 0.0, 0.0, 0.421053]",2
스누피가든,6,135,"[0.525926, 0.2, 0.022222, 0.066667, 0.140741, 0.007407, 0.0, 0.0, 0.014815, 0.014815, 0.007407]",2
협재해수욕장,1,272,"[0.514706, 0.014706, 0.0, 0.316176, 0.014706, 0.040441, 0.0, 0.0, 0.069853, 0.0, 0.029412]",2
카페노티드 제주애월,11,75,"[0.493333, 0.346667, 0.0, 0.12, 0.026667, 0.0, 0.0, 0.0, 0.013333, 0.0, 0.0]",1
더마파크,3,25,"[0.2, 0.36, 0.08, 0.04, 0.2, 0.0, 0.0, 0.0, 0.0, 0.04, 0.08]",2
봄그리고가을리조트,24,30,"[0.0, 0.2, 0.0, 0.1, 0.0, 0.166667, 0.0, 0.433333, 0.0, 0.0, 0.1]",2
제주레일바이크,13,35,"[0.257143, 0.4, 0.028571, 0.085714, 0.085714, 0.057143, 0.0, 0.0, 0.057143, 0.028571, 0.0]",2
우동카덴,11,20,"[0.5, 0.3, 0.15, 0.05, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
섭지코지,1,159,"[0.572327, 0.037736, 0.006289, 0.213836, 0.09434, 0.025157, 0.0, 0.0, 0.031447, 0.0, 0.018868]",2
어멍횟집,11,7,"[0.0, 0.428571, 0.142857, 0.0, 0.142857, 0.142857, 0.0, 0.0, 0.142857, 0.0, 0.0]",0
제주도 해녀세자매,11,8,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
성산일출봉,1,255,"[0.627451, 0.003922, 0.015686, 0.25098, 0.023529, 0.0, 0.003922, 0.0, 0.043137, 0.003922, 0.027451]",2
세계자동차&피아노박물관,2,14,"[0.285714, 0.214286, 0.0, 0.285714, 0.071429, 0.071429, 0.0, 0.0, 0.0, 0.071429, 0.0]",2
세화소품관,4,5,"[0.0, 0.4, 0.0, 0.0, 0.0, 0.4, 0.0, 0.0, 0.2, 0.0, 0.0]",2
우굼,11,7,"[0.0, 0.571429, 0.0, 0.0, 0.0, 0.142857, 0.0, 0.0, 0.285714, 0.0, 0.0]",0
너의하루,24,4,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
9.81파크,5,80,"[0.35, 0.3125, 0.05, 0.1375, 0.125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.025]",2
월정리해수욕장,1,84,"[0.416667, 0.071429, 0.0, 0.261905, 0.035714, 0.047619, 0.0, 0.0, 0.130952, 0.0, 0.035714]",2
오드랑베이커리,11,41,"[0.243902, 0.463415, 0.0, 0.097561, 0.146341, 0.0, 0.0, 0.02439, 0.0, 0.0, 0.02439]",1
우진해장국,11,127,"[0.346457, 0.299213, 0.031496, 0.165354, 0.11811, 0.007874, 0.0, 0.015748, 0.007874, 0.0, 0.007874]",0
삼대국수회관 본점,11,22,"[0.136364, 0.318182, 0.0, 0.045455, 0.272727, 0.045455, 0.0, 0.090909, 0.090909, 0.0, 0.0]",0
서프서프,5,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",2
카페치즈태비,11,12,"[0.25, 0.666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.083333, 0.0, 0.0]",1
제주동문재래시장,4,184,"[0.402174, 0.059783, 0.021739, 0.222826, 0.054348, 0.054348, 0.021739, 0.092391, 0.032609, 0.0, 0.038043]",2
아르떼뮤지엄 제주,3,91,"[0.450549, 0.340659, 0.054945, 0.032967, 0.098901, 0.0, 0.0, 0.0, 0.0, 0.021978, 0.0]",2
코난해변,1,30,"[0.533333, 0.133333, 0.033333, 0.166667, 0.1, 0.0, 0.0, 0.0, 0.033333, 0.0, 0.0]",2
고등어회결사,11,5,"[0.0, 0.8, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0]",0
도민상회,11,10,"[0.1, 0.5, 0.0, 0.0, 0.3, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0]",0
월정항아리,11,1,"[0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
금능제면소,11,4,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
금능해수욕장,1,102,"[0.421569, 0.068627, 0.0, 0.235294, 0.04902, 0.04902, 0.0, 0.0, 0.137255, 0.0, 0.039216]",2
더꽃돈 협재점,11,12,"[0.0, 0.416667, 0.0, 0.083333, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0]",0
비수기애호가,11,13,"[0.076923, 0.384615, 0.0, 0.0, 0.230769, 0.0, 0.0, 0.0, 0.307692, 0.0, 0.0]",1
호텔스테이현,24,30,"[0.066667, 0.2, 0.0, 0.033333, 0.0, 0.2, 0.033333, 0.333333, 0.0, 0.0, 0.133333]",2
레이어스 베이크하우스,10,2,"[0.0, 0.5, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
함덕해수욕장,1,328,"[0.45122, 0.045732, 0.0, 0.307927, 0.042683, 0.054878, 0.0, 0.0, 0.079268, 0.0, 0.018293]",2
아베베베이커리,11,51,"[0.215686, 0.470588, 0.0, 0.156863, 0.137255, 0.0, 0.0, 0.0, 0.019608, 0.0, 0.0]",1
금복식당,11,4,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.25, 0.0, 0.25, 0.0, 0.0, 0.0]",0
제주동문시장,4,283,"[0.473498, 0.063604, 0.007067, 0.219081, 0.042403, 0.038869, 0.007067, 0.067138, 0.035336, 0.0, 0.045936]",2
스타벅스 제주함덕점,11,41,"[0.121951, 0.121951, 0.0, 0.097561, 0.04878, 0.243902, 0.073171, 0.04878, 0.219512, 0.0, 0.02439]",1
씽씽왕발통,5,2,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0]",2
김녕해안도로,7,2,"[0.0, 0.0, 0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5]",2
아침해변펜션,24,8,"[0.0, 0.0, 0.125, 0.0, 0.0, 0.0, 0.0, 0.375, 0.0, 0.0, 0.5]",2
산지해장국,11,17,"[0.0, 0.529412, 0.0, 0.117647, 0.294118, 0.0, 0.0, 0.0, 0.058824, 0.0, 0.0]",0
곱들락,11,9,"[0.0, 0.555556, 0.111111, 0.0, 0.222222, 0.111111, 0.0, 0.0, 0.0, 0.0, 0.0]",0
사라봉공원,1,8,"[0.375, 0.125, 0.0, 0.125, 0.125, 0.0, 0.0, 0.0, 0.125, 0.0, 0.125]",2
신흥바다낚시공원,1,2,"[0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",2
이니스프리 제주하우스,11,27,"[0.37037, 0.148148, 0.0, 0.148148, 0.148148, 0.037037, 0.037037, 0.0, 0.037037, 0.037037, 0.037037]",0
쇠소깍관광지,1,29,"[0.448276, 0.068966, 0.0, 0.310345, 0.068966, 0.0, 0.0, 0.0, 0.068966, 0.0, 0.034483]",2
곱은달감귤체험농장,13,3,"[0.0, 0.666667, 0.0, 0.0, 0.0, 0.333333, 0.0, 0.0, 0.0, 0.0, 0.0]",2
국수나무집,11,1,"[0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
이중섭거리,4,65,"[0.492308, 0.030769, 0.0, 0.230769, 0.030769, 0.046154, 0.0, 0.015385, 0.138462, 0.0, 0.015385]",2
동문취향 게스트하우스,24,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",2
스타벅스 제주칠성점,11,19,"[0.105263, 0.052632, 0.052632, 0.0, 0.0, 0.368421, 0.0, 0.0, 0.315789, 0.0, 0.105263]",1
꼬란,11,9,"[0.111111, 0.222222, 0.0, 0.111111, 0.111111, 0.111111, 0.0, 0.0, 0.333333, 0.0, 0.0]",0
섬게스트하우스,24,7,"[0.0, 0.142857, 0.0, 0.0, 0.0, 0.285714, 0.142857, 0.428571, 0.0, 0.0, 0.0]",2
망고홀릭 제주본점,11,4,"[0.0, 0.5, 0.0, 0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0]",0
우무 제주시점,11,34,"[0.323529, 0.470588, 0.029412, 0.147059, 0.0, 0.0, 0.0, 0.0, 0.029412, 0.0, 0.0]",0
애월카페거리,4,42,"[0.666667, 0.071429, 0.0, 0.166667, 0.071429, 0.02381, 0.0, 0.0, 0.0, 0.0, 0.0]",2
오설록티뮤지엄,3,167,"[0.45509, 0.113772, 0.017964, 0.281437, 0.041916, 0.023952, 0.0, 0.0, 0.02994, 0.011976, 0.023952]",2
꼬르동게스트하우스,24,3,"[0.0, 0.0, 0.0, 0.666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.333333]",2
컴포즈커피 서귀포서홍점,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",1
비지곶식당,11,3,"[0.0, 0.0, 0.0, 0.333333, 0.666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
쪼끌락,11,11,"[0.181818, 0.454545, 0.0, 0.090909, 0.181818, 0.0, 0.0, 0.0, 0.090909, 0.0, 0.0]",0
비케이브,11,13,"[0.153846, 0.692308, 0.076923, 0.0, 0.076923, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
당당,11,5,"[0.2, 0.8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
애월빵공장앤카페,11,23,"[0.304348, 0.217391, 0.173913, 0.0, 0.130435, 0.0, 0.0, 0.0, 0.173913, 0.0, 0.0]",1
과물노천탕,1,5,"[0.4, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.0, 0.4, 0.0, 0.0]",2
집의기록상점,11,17,"[0.411765, 0.352941, 0.058824, 0.0, 0.176471, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",1
도르르김밥,11,4,"[0.25, 0.0, 0.0, 0.0, 0.25, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]",0
오전열한시,11,11,"[0.0, 0.636364, 0.090909, 0.181818, 0.090909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0
한담해안산책로,7,89,"[0.483146, 0.101124, 0.022472, 0.191011, 0.022472, 0.011236, 0.0, 0.0, 0.11236, 0.0, 0.05618]",2
커피베이 제주공항국내선2호점,10,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",2
도두동무지개해안도로,1,98,"[0.622449, 0.183673, 0.010204, 0.091837, 0.0, 0.030612, 0.0, 0.0, 0.061224, 0.0, 0.0]",2
머무르다,24,4,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0]",2
호텔케니모슬포,24,24,"[0.0, 0.083333, 0.0, 0.041667, 0.083333, 0.125, 0.0, 0.583333, 0.0, 0.0, 0.083333]",2
산방산,1,51,"[0.392157, 0.058824, 0.039216, 0.215686, 0.176471, 0.0, 0.0, 0.0, 0.098039, 0.0, 0.019608]",2
메리아일랜드,10,5,"[0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.8, 0.0, 0.0]",2
CU 서귀대정태화점,10,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0]",2
중문색달해수욕장,1,86,"[0.44186, 0.093023, 0.0, 0.197674, 0.046512, 0.093023, 0.0, 0.0, 0.081395, 0.0, 0.046512]",2
과물치킨,11,2,"[0.0, 0.5, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5, 0.0, 0.0]",0
오멍가멍흑돼지 제주공항점,11,1,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]",0
곽지해수욕장,1,133,"[0.526316, 0.037594, 0.015038, 0.142857, 0.037594, 0.022556, 0.0, 0.0, 0.157895, 0.0, 0.06015]",2
나비스호텔,24,4,"[0.0, 0.25, 0.0, 0.0, 0.0, 0.0, 0.0, 0.75, 0.0, 0.0, 0.0]",2
